"номер","тип_задачи","текст_задачи","изображение","выполнено","правильный_ответ"
"252","Прогрессии","Геометрическая прогрессия состоит из шести членов. Сумма первых трёх равна 28, сумма последних трёх равна 224. Найдите первый член и знаменатель.","","False","4 и 2"
"253","Прогрессии","В арифметической прогрессии a3 + a7 = 24, a5 * a9 = 135. Найдите a1 и разность (положительную).","","False","3 и 2"
"254","Прогрессии","Бесконечно убывающая геометрическая прогрессия с первым членом 8 и знаменателем 1/2. Найдите сумму всех её членов.","","False","16"
"255","Прогрессии","Стороны прямоугольного треугольника образуют арифметическую прогрессию с разностью 1. Найдите стороны треугольника.","","False","3,4,5"
"256","Прогрессии","Найдите трёхзначное число, цифры которого образуют геометрическую прогрессию, а само число делится на 8.","","False","864"
"257","Прогрессии","В арифметической прогрессии сумма первого и пятого членов равна 8, а произведение второго и четвёртого равно 12. Найдите шестой член.","","False","11"
"258","Прогрессии","В геометрической прогрессии b1 = 5, сумма первых четырёх членов равна 125. Найдите знаменатель (отличный от 1).","","False","2"
"259","Прогрессии","Логарифмы членов геометрической прогрессии (положительной) образуют арифметическую прогрессию. Укажите разность этой арифметической прогрессии через знаменатель геометрической.","","False","lg q"
"260","Прогрессии","Сумма первого, третьего и пятого членов арифметической прогрессии равна 24, а произведение второго и четвёртого равно 48. Найдите разность прогрессии.","","False","2 или -2"
"261","Тригонометрия","Вычислите: sin 30° + cos 60°","","False","1"
"262","Тригонометрия","Найдите значение выражения: tg 45° – 2 sin 90°","","False","-1"
"263","Тригонометрия","Решите уравнение: sin x = 1/2","","False","(-1)^k * π/6 + πk, k∈Z"
"264","Тригонометрия","Решите уравнение: cos x = –√2/2","","False","±3π/4 + 2πn, n∈Z"
"265","Тригонометрия","Вычислите: sin 120°","","False","√3/2"
"266","Тригонометрия","Упростите выражение: sin²α + cos²α","","False","1"
"267","Тригонометрия","Найдите tg α, если sin α = 0.6 и α ∈ (π/2; π)","","False","-0.75"
"268","Тригонометрия","Решите уравнение: 2 cos x – 1 = 0","","False","±π/3 + 2πn, n∈Z"
"269","Тригонометрия","Вычислите: arccos 0","","False","π/2"
"270","Тригонометрия","Упростите выражение: (1 – cos²α)/sin²α","","False","1"
"271","Тригонометрия","Решите уравнение: tg x = √3","","False","π/3 + πn, n∈Z"
"272","Тригонометрия","Найдите значение sin 75° (используя формулу суммы)","","False","(√6+√2)/4"
"273","Тригонометрия","Решите уравнение: sin 2x = 1","","False","π/4 + πn, n∈Z"
"274","Тригонометрия","Вычислите: cos 150°","","False","-√3/2"
"275","Тригонометрия","Упростите: sin(π/2 + α)","","False","cos α"
"276","Тригонометрия","Решите неравенство: sin x > 0 на промежутке [0; 2π]","","False","(0; π)"
"277","Тригонометрия","Найдите область определения функции y = tg x","","False","x ≠ π/2 + πk, k∈Z"
"278","Тригонометрия","Вычислите: arcsin(-1/2)","","False","-π/6"
"279","Тригонометрия","Решите уравнение: cos 2x = 0","","False","π/4 + πn/2, n∈Z"
"280","Тригонометрия","Найдите значение выражения: sin(π/3) · cos(π/6) – cos(π/3) · sin(π/6)","","False","1/2"
"281","Тригонометрия","Докажите тождество: sin²α – cos²α = –cos 2α. В ответе укажите правую часть.","","False","-cos 2α"
"282","Тригонометрия","Решите уравнение: 2sin² x – sin x – 1 = 0","","False","π/2 + 2πn; (-1)^(k+1)π/6 + πk, n,k∈Z"
"283","Тригонометрия","Вычислите: tg 300°","","False","-√3"
"284","Тригонометрия","Упростите выражение: (sin α + cos α)² – sin 2α","","False","1"
"285","Тригонометрия","Решите уравнение: sin x = –1","","False","-π/2 + 2πn, n∈Z"
"286","Тригонометрия","Найдите наименьший положительный период функции y = sin 3x","","False","2π/3"
"287","Тригонометрия","Вычислите: cos(arctg 1)","","False","√2/2"
"288","Тригонометрия","Решите уравнение: sin x = cos x","","False","π/4 + πn, n∈Z"
"289","Тригонометрия","Найдите значение выражения: 2 sin 15° cos 15°","","False","1/2"
"290","Тригонометрия","Упростите: (1 – tg²α)/(1 + tg²α)","","False","cos 2α"
"291","Уравнения","Решите уравнение: 5x - 7 = 2x + 8","","False","5"
"292","Уравнения","Решите уравнение: x^2 - 5x + 6 = 0","","False","2;3"
"293","Уравнения","Решите уравнение: (x-3)(x+4)=0","","False","-4;3"
"294","Уравнения","Решите уравнение: |2x-1|=3","","False","-1;2"
"295","Уравнения","Решите уравнение: sqrt(x+2)=4","","False","14"
"296","Уравнения","Решите уравнение: 3^x=27","","False","3"
"297","Уравнения","Решите уравнение: log2(x+1)=3","","False","7"
"298","Уравнения","Решите уравнение: sin x=0","","False","pi*n, n in Z"
"299","Уравнения","Решите уравнение: 2cos x=1","","False","±pi/3+2pi*n, n in Z"
"300","Уравнения","Решите уравнение: x^4-5x^2+4=0","","False","-2;-1;1;2"
"301","Уравнения","Решите уравнение: (2x+1)/(x-3)=1","","False","4"
"302","Уравнения","Решите уравнение: sqrt(3x+1)=x-1","","False","5"
"303","Уравнения","Решите уравнение: 4^x-3*2^x+2=0","","False","0;1"
"304","Уравнения","Решите уравнение: log3(x-2)+log3(x+2)=log3(5x)","","False","5"
"305","Уравнения","Решите уравнение: tg x=1","","False","pi/4+pi*n, n in Z"
"306","Уравнения","Решите систему: {x+y=7, x-y=1}","","False","(4;3)"
"307","Уравнения","Решите уравнение: |x^2-4|=0","","False","-2;2"
"308","Уравнения","Решите уравнение: 2sin^2 x - sin x -1=0","","False","pi/2+2pi*n; (-1)^(k+1)pi/6+pi*k"
"309","Уравнения","Решите уравнение: log5(2x-3)=log5(x+4)","","False","7"
"310","Уравнения","Решите уравнение: sqrt(x+5)-sqrt(x-3)=2","","False","4"
"311","Уравнения","Решите уравнение: 9^x-4*3^x+3=0","","False","0;1"
"312","Уравнения","Решите уравнение: cos 2x=1/2","","False","±pi/6+pi*n, n in Z"
"313","Уравнения","Решите уравнение: (x^2-4x+3)/(x-1)=0","","False","3"
"314","Уравнения","Решите уравнение: 2^(x+2)=64","","False","4"
"315","Уравнения","Решите уравнение: ln(x-1)=0","","False","2"
"316","Уравнения","Решите уравнение: sin 2x = cos x","","False","pi/2+pi*n; (-1)^k pi/6+pi*k"
"317","Уравнения","Решите уравнение: sqrt(2x+3)=x","","False","3"
"318","Уравнения","Решите уравнение: log0.5(x^2+x)=-1","","False","-2;1"
"319","Уравнения","Решите уравнение: 3^x=5","","False","log3(5)"
"320","Уравнения","Решите уравнение: 2x^3-5x^2-2x+5=0","","False","-1;1;2.5"
"321","Уравнения","Решите уравнение: |x-3|+|x+2|=5","","False","[-2;3]"
"322","Уравнения","Решите уравнение: 2sin^2 x+3cos x=0","","False","±2pi/3+2pi*n, n in Z"
"323","Уравнения","Решите уравнение: 4^x+2^(x+1)-8=0","","False","1"
"324","Уравнения","Решите уравнение: log2(x^2-4x)=log2(3x-10)","","False","5"
"325","Уравнения","Решите систему: {xy=8, x^2+y^2=20}","","False","(2;4);(4;2);(-2;-4);(-4;-2)"
"326","Уравнения","Решите уравнение: sqrt(x+1)+sqrt(x-4)=5","","False","8"
"327","Уравнения","Решите уравнение: 2^(x^2-4)=1","","False","-2;2"
"328","Уравнения","Решите уравнение: cos x=-1/2","","False","±2pi/3+2pi*n, n in Z"
"329","Уравнения","Решите уравнение: log3(x-1)-log3(x-2)=1","","False","2.5"
"330","Уравнения","Решите уравнение: (x^2-3x+2)/(x-2)=0","","False","1"
"331","Уравнения","Решите уравнение: 5^x-5^(x-2)=24","","False","2"
"332","Уравнения","Решите уравнение: sin x+cos x=1","","False","2pi*n; pi/2+2pi*n"
"333","Уравнения","Решите уравнение: log4(x+3)+log4(x-1)=1","","False","-1+2*sqrt(2)"
"334","Уравнения","Решите уравнение: 3^(2x)-4*3^x+3=0","","False","0;1"
"335","Уравнения","Решите уравнение: sqrt(x^2+x+1)=x+2","","False","-1"
"336","Производная","Найдите производную функции: f(x) = 3x² - 5x + 2","","False","6x-5"
"337","Производная","Найдите производную функции: f(x) = sin x + cos x","","False","cos x - sin x"
"338","Производная","Найдите производную функции: f(x) = e^x + ln x","","False","e^x + 1/x"
"339","Производная","Найдите производную функции: f(x) = x³ * ln x","","False","x^2*(3 ln x +1)"
"340","Производная","Найдите значение производной функции f(x)=x²-4x в точке x=3","","False","2"
"341","Производная","Найдите угловой коэффициент касательной к графику функции f(x)=x²+2x в точке x=1","","False","4"
"342","Производная","Составьте уравнение касательной к графику f(x)=x² в точке x=1","","False","y=2x-1"
"343","Производная","Найдите производную функции: f(x) = 5/x","","False","-5/x^2"
"344","Производная","Найдите производную функции: f(x) = (2x+1)^5","","False","10(2x+1)^4"
"345","Производная","Точка движется по закону s(t)=t²-4t+3 (s в метрах, t в секундах). Найдите мгновенную скорость в момент t=2","","False","0"
"346","Производная","Найдите вторую производную функции f(x)=x³-3x²+2x","","False","6x-6"
"347","Производная","Найдите производную функции: f(x) = tg x","","False","1/cos^2 x"
"348","Производная","Найдите производную функции: f(x) = x * e^x","","False","e^x (x+1)"
"349","Производная","Найдите угол наклона касательной к графику f(x)=√x в точке x=1 (в градусах)","","False","45"
"350","Производная","Найдите производную функции: f(x) = ln(3x+1)","","False","3/(3x+1)"
"351","Производная","Исследуйте функцию f(x)=x²-4x на монотонность. Укажите промежуток возрастания.","","False","[2;+∞)"
"352","Производная","Найдите точку экстремума функции f(x)=x²-6x+5","","False","3"
"353","Производная","Найдите наибольшее значение функции f(x)=x²-4x+5 на отрезке [0;3]","","False","5"
"354","Производная","Найдите производную функции: f(x) = cos(2x)","","False","-2 sin(2x)"
"355","Производная","Найдите производную функции: f(x) = (x²+1)/(x-1)","","False","(x^2 -2x -1)/(x-1)^2"
"356","Производная","К графику функции f(x)=x³-3x проведена касательная с угловым коэффициентом 9. Найдите абсциссу точки касания.","","False","2 или -2"
"357","Производная","Найдите производную функции: f(x) = arcsin x","","False","1/√(1-x^2)"
"358","Производная","Найдите производную функции: f(x) = 3^(x)","","False","3^x ln 3"
"359","Производная","Найдите производную функции: f(x) = log_5 x","","False","1/(x ln 5)"
"360","Производная","Точка движется по закону s(t)=t³-6t². В какой момент времени ускорение точки равно нулю?","","False","2"
"361","Производная","Найдите производную функции: f(x) = e^(2x) * sin x","","False","e^(2x)(2 sin x + cos x)"
"362","Производная","Найдите тангенс угла наклона касательной к графику f(x)=ln x в точке x=1","","False","1"
"363","Производная","Функция f(x)=x³+ax²+bx имеет экстремум в точках x=-1 и x=2. Найдите a и b.","","False","a=-1.5, b=-6"
"364","Производная","Найдите производную функции: f(x) = √(x^2+1)","","False","x/√(x^2+1)"
"365","Производная","Дана функция f(x)=x³-3x+1. Найдите сумму абсцисс точек экстремума.","","False","0"
"366","Сплавы и растворы","Смешали 200 г 10%-го раствора соли и 300 г 20%-го раствора той же соли. Найдите концентрацию полученного раствора.","","False","16%"
"367","Сплавы и растворы","Имеется два сплава золота и серебра. В первом сплаве отношение золота к серебру 1:4, во втором 2:3. Сколько килограммов первого сплава нужно взять, чтобы получить 15 кг нового сплава, содержащего 30% золота?","","False","5 кг"
"368","Сплавы и растворы","К 5 кг 25%-го раствора кислоты добавили 15 кг воды. Какова концентрация кислоты в новом растворе?","","False","6.25%"
"369","Сплавы и растворы","Имеется 12 кг сплава меди с оловом, содержащего 45% меди. Сколько чистого олова нужно добавить, чтобы получить сплав с 30% меди?","","False","6 кг"
"370","Сплавы и растворы","Смешали 40%-й и 70%-й растворы соляной кислоты, получив 600 г 60%-го раствора. Сколько граммов каждого раствора взяли?","","False","200 г и 400 г"
"371","Сплавы и растворы","В 100 г 15%-го раствора сахара добавили 25 г сахара. Найдите процентную концентрацию полученного раствора.","","False","32%"
"372","Сплавы и растворы","Два сплава, первый весит 5 кг и содержит 20% цинка, второй весит 3 кг и содержит 50% цинка. Их сплавили. Сколько процентов цинка в полученном сплаве?","","False","31.25%"
"373","Сплавы и растворы","Имеется 400 г 5%-го раствора соли. Сколько воды нужно выпарить, чтобы получить 10%-й раствор?","","False","200 г"
"374","Сплавы и растворы","Первый раствор содержит 30% соли, второй – 50% соли. Смешали 10 кг первого и 15 кг второго. Найдите массовую долю соли в смеси.","","False","42%"
"375","Сплавы и растворы","В сплаве меди и свинца 60% меди. К 10 кг этого сплава добавили 5 кг свинца. Найдите процентное содержание меди в новом сплаве.","","False","40%"
"376","Сплавы и растворы","Смешали 8 литров 15%-го водного раствора некоторого вещества с 12 литрами 40%-го раствора этого же вещества. Сколько процентов составляет концентрация получившегося раствора?","","False","30%"
"377","Сплавы и растворы","Сплав массой 8 кг содержит 30% никеля. Сколько килограммов никеля нужно добавить, чтобы новый сплав содержал 40% никеля?","","False","1.333... (4/3) кг"
"378","Сплавы и растворы","Имеется два сосуда с 10%-м и 25%-м растворами кислоты. Сколько нужно взять каждого раствора, чтобы получить 50 литров 16%-го раствора?","","False","30 л и 20 л"
"379","Сплавы и растворы","К 120 г 70%-й уксусной кислоты добавили 80 г воды. Какова концентрация полученной кислоты?","","False","42%"
"380","Сплавы и растворы","Сплав состоит из олова и сурьмы. Масса олова в сплаве составляет 40% от массы сурьмы. Какова массовая доля олова в сплаве?","","False","28.57% (или 2/7)"
"381","Сплавы и растворы","Из бака, заполненного 800 л 25%-го раствора соли, отлили 200 л и долили 200 л воды. Какой концентрации стал раствор?","","False","18.75%"
"382","Сплавы и растворы","Имеется кусок сплава меди с оловом массой 12 кг, содержащий 45% меди. Сколько чистого олова нужно добавить, чтобы содержание меди стало 30%?","","False","6 кг"
"383","Сплавы и растворы","Смешали 300 г 20%-го раствора и 200 г 10%-го раствора серной кислоты. Найдите массовую долю кислоты в смеси.","","False","16%"
"384","Сплавы и растворы","В сплаве золота и серебра золото составляет 60%. Сколько граммов серебра нужно добавить к 40 г этого сплава, чтобы получить сплав с 40% золота?","","False","20 г"
"385","Сплавы и растворы","Имеется 600 г раствора, содержащего 15% соли. Сколько граммов воды нужно добавить, чтобы получился 10%-й раствор?","","False","300 г"
"386","Сплавы и растворы","Два сплава, один содержит 20% олова, другой – 40% олова. Сколько килограммов каждого сплава нужно взять, чтобы получить 30 кг сплава с 32% олова?","","False","12 кг и 18 кг"
"387","Сплавы и растворы","В лаборатории имеется 500 г 70%-й уксусной кислоты. Сколько воды необходимо добавить, чтобы получить 5%-й раствор?","","False","6500 г"
"388","Сплавы и растворы","К 5 кг 30%-го раствора серной кислоты добавили 2 кг чистой воды. Какова новая концентрация?","","False","21.43% (150/7%)"
"389","Сплавы и растворы","В сплаве меди и цинка содержится 30% цинка. Какова масса сплава, если меди в нём на 12 кг больше, чем цинка?","","False","30 кг"
"390","Сплавы и растворы","Смешали 4 литра 35%-го раствора марганцовки и 6 литров 15%-го раствора. Найдите концентрацию полученного раствора.","","False","23%"
"391","Сплавы и растворы","Из 40 т руды, содержащей 45% железа, после обогащения получили 30 т руды с новым содержанием железа. Сколько процентов железа в обогащённой руде, если потери железа при обогащении составили 10%?","","False","54%"
"392","Сплавы и растворы","Имеется два раствора кислоты: 5% и 15%. Их смешали и получили 400 г 12% раствора. Сколько граммов 5% раствора было взято?","","False","120 г"
"393","Сплавы и растворы","К 200 г 25% раствора соли добавили 50 г соли. Найдите процентное содержание соли в новом растворе.","","False","40%"
"394","Сплавы и растворы","Сплав меди и алюминия массой 20 кг содержит 65% меди. Сколько килограммов алюминия нужно добавить, чтобы содержание меди стало 40%?","","False","12.5 кг"
"395","Сплавы и растворы","В сосуд, содержащий 5 литров 12% водного раствора некоторого вещества, добавили 7 литров воды. Сколько процентов составляет концентрация получившегося раствора?","","False","5%"
"396","Текстовые задачи","Автомобиль проехал 180 км за 3 часа. Найдите его скорость в км/ч. Ответ дайте числом.","","True","60"
"397","Текстовые задачи","Два автомобиля выехали навстречу друг другу из двух городов, расстояние между которыми 600 км. Скорость первого 70 км/ч, второго 80 км/ч. Через сколько часов они встретятся? Ответ дайте числом.","","True","4"
"398","Текстовые задачи","Катер прошёл 48 км по течению реки за 3 часа. Найдите скорость катера в стоячей воде (в км/ч), если скорость течения 2 км/ч. Ответ дайте числом.","","False","14"
"399","Текстовые задачи","Лодка проплыла 30 км против течения за 5 часов. Скорость течения 2 км/ч. Найдите собственную скорость лодки в км/ч. Ответ дайте числом.","","False","8"
"400","Текстовые задачи","Моторная лодка прошла 56 км по течению и 24 км против течения, затратив на весь путь 5 часов. Скорость течения 2 км/ч. Найдите скорость лодки в стоячей воде в км/ч. Ответ дайте числом.","","False","14"
"401","Текстовые задачи","Первый рабочий выполняет заказ за 6 часов, второй – за 4 часа. За сколько часов они выполнят заказ, работая вместе? Ответ дайте числом (десятичная дробь).","","False","2.4"
"402","Текстовые задачи","Одна труба наполняет бассейн за 5 часов, другая – за 3 часа. За сколько часов наполнится бассейн, если открыть обе трубы одновременно? Ответ дайте числом (десятичная дробь).","","False","1.875"
"403","Текстовые задачи","Автомобиль проехал первую половину пути со скоростью 50 км/ч, а вторую – со скоростью 70 км/ч. Найдите среднюю скорость на всём пути в км/ч. Ответ округлите до сотых.","","False","58.33"
"404","Текстовые задачи","Из пункта А в пункт В вышел пешеход со скоростью 5 км/ч. Через 2 часа вслед за ним выехал велосипедист со скоростью 15 км/ч. Через сколько часов велосипедист догонит пешехода? Ответ дайте числом.","","False","1"
"405","Текстовые задачи","Теплоход проходит по течению реки 120 км за 4 часа, а против течения – 120 км за 5 часов. Найдите скорость течения в км/ч. Ответ дайте числом.","","False","3"
"406","Текстовые задачи","Две бригады, работая вместе, выполняют работу за 12 дней. Первая бригада одна могла бы выполнить эту работу за 20 дней. За сколько дней вторая бригада выполнит эту работу одна? Ответ дайте числом.","","False","30"
"407","Текстовые задачи","Из двух городов, расстояние между которыми 450 км, одновременно навстречу друг другу выехали два автомобиля и встретились через 3 часа. Скорость одного на 10 км/ч больше другого. Найдите меньшую скорость в км/ч. Ответ дайте числом.","","False","70"
"408","Текстовые задачи","Катер проплыл 30 км по течению и 30 км против течения, затратив на весь путь 5.5 часа. Скорость катера в стоячей воде 12 км/ч. Найдите скорость течения в км/ч. Ответ дайте числом.","","False","2"
"409","Текстовые задачи","На выполнение заказа первый рабочий тратит на 2 часа меньше, чем второй. Работая вместе, они выполняют заказ за 2.4 часа. За сколько часов выполнит заказ второй рабочий один? Ответ дайте числом.","","False","6"
"410","Текстовые задачи","Скорость велосипедиста на 20 км/ч больше скорости пешехода. Расстояние от города до деревни велосипедист проезжает за 2 часа, а пешеход проходит за 6 часов. Найдите скорость пешехода в км/ч. Ответ дайте числом.","","False","10"
"411","Текстовые задачи","Два поезда вышли одновременно навстречу друг другу из двух городов, расстояние между которыми 720 км. Скорость одного 80 км/ч, другого 100 км/ч. Через сколько часов расстояние между ними станет 120 км? Ответ дайте числом.","","False","3"
"412","Текстовые задачи","Бассейн наполняется первой трубой за 4 часа, второй – за 6 часов. За сколько часов наполнится бассейн, если открыть обе трубы, а через 2 часа первую закрыть? Ответ дайте числом.","","False","3"
"413","Текстовые задачи","Моторная лодка спустилась по течению на 36 км и вернулась обратно, затратив на весь путь 5 часов. Скорость течения 3 км/ч. Найдите скорость лодки в стоячей воде в км/ч. Ответ дайте числом.","","False","15"
"414","Текстовые задачи","Первая бригада может выполнить работу за 10 дней, вторая – за 15 дней. После 3 дней совместной работы первая бригада ушла, а вторая завершила работу. Сколько дней всего работала вторая бригада? Ответ дайте числом (десятичная дробь).","","False","7.5"
"415","Текстовые задачи","Из пункта А в пункт В выехал грузовик со скоростью 60 км/ч. Через 1 час из А в том же направлении выехал легковой автомобиль со скоростью 80 км/ч. На каком расстоянии от А (в км) легковой автомобиль догонит грузовик? Ответ дайте числом.","","False","240"
"416","Текстовые задачи","Плот проплывает расстояние между двумя пристанями по течению за 15 часов, а лодка против течения – за 5 часов. За сколько часов лодка проплывёт это же расстояние по течению? Ответ дайте числом (десятичная дробь).","","False","3"
"417","Текстовые задачи","Двое рабочих, работая вместе, выполняют заказ за 6 дней. Первый рабочий, работая один, выполняет заказ на 5 дней быстрее, чем второй. За сколько дней выполнит заказ первый рабочий один? Ответ дайте числом.","","False","10"
"418","Текстовые задачи","Товарный поезд проезжает расстояние между городами за 12 часов, а пассажирский – за 8 часов. Через сколько часов они встретятся, если выедут одновременно навстречу друг другу? Ответ дайте числом (десятичная дробь).","","False","4.8"
"419","Текстовые задачи","Катер прошел 40 км по течению и 24 км против течения, затратив на весь путь 4 часа. Скорость течения 3 км/ч. Найдите скорость катера в км/ч. Ответ дайте числом.","","False","15"
"420","Текстовые задачи","На экскаваторе вырыли траншею за 12 часов. Второй экскаватор вырыл бы эту траншею за 8 часов. За сколько часов выроют траншею оба экскаватора, работая вместе? Ответ дайте числом (десятичная дробь).","","False","4.8"
"421","Текстовые задачи","Из двух пунктов, расстояние между которыми 240 км, выехали навстречу друг другу мотоциклист и велосипедист. Скорость мотоциклиста на 20 км/ч больше скорости велосипедиста. Встретились через 3 часа. Найдите скорость велосипедиста в км/ч. Ответ дайте числом.","","False","30"
"422","Текстовые задачи","Лодка проплыла 36 км по течению и 36 км против течения, затратив на весь путь 7.5 часов. Скорость лодки в стоячей воде 10 км/ч. Найдите скорость течения в км/ч. Ответ дайте числом.","","False","2"
"423","Текстовые задачи","Два токаря вместе изготовили 220 деталей. Первый работал 5 дней, второй – 4 дня. Сколько деталей в день изготавливал первый, если второй изготавливал на 5 деталей больше? Ответ дайте числом.","","False","20"
"424","Текстовые задачи","Расстояние между пристанями А и В равно 120 км. Теплоход проходит от А до В по течению за 3 часа, а обратно за 5 часов. Найдите скорость течения в км/ч. Ответ дайте числом.","","False","8"
"425","Текстовые задачи","Два экскаватора, работая одновременно, вырыли котлован за 4 часа. Один первый экскаватор может вырыть этот котлован за 6 часов. За сколько часов выроет котлован второй экскаватор? Ответ дайте числом.","","False","12"
"426","Текстовые задачи","Автомобиль проехал путь из А в В со скоростью 60 км/ч, а возвращался со скоростью 40 км/ч. Найдите среднюю скорость автомобиля на всём пути в км/ч. Ответ дайте числом.","","False","48"
"427","Текстовые задачи","Из одной точки в противоположных направлениях выехали два автомобиля. Через 2 часа расстояние между ними стало 300 км. Скорость одного на 10 км/ч больше другого. Найдите меньшую скорость в км/ч. Ответ дайте числом.","","False","70"
"428","Текстовые задачи","Первая труба наполняет бассейн за 3 часа, вторая – за 5 часов. За сколько часов наполнится бассейн, если сначала 1 час работала первая труба, затем открыли вторую? Ответ дайте числом (десятичная дробь).","","False","2.5"
"429","Текстовые задачи","Катер по течению реки прошёл 60 км за 2 часа, а против течения – 60 км за 3 часа. Найдите скорость течения в км/ч. Ответ дайте числом.","","False","5"
"430","Текстовые задачи","Две бригады работали на уборке урожая. Первая бригада убрала 120 га, вторая – 150 га. Первая работала на 2 дня меньше, чем вторая. Найдите производительность каждой бригады (га в день), если они убирали одинаковую площадь в день. Ответ дайте числом.","","False","15"
"431","Текстовые задачи","Моторная лодка прошла 48 км по течению и 42 км против течения, затратив на путь по течению на 1 час меньше, чем против течения. Скорость течения 3 км/ч. Найдите скорость лодки в стоячей воде в км/ч. Ответ дайте числом.","","False","15"
"432","Текстовые задачи","Первый рабочий за час делает 5 деталей, второй – 4 детали. Сколько деталей они сделают вместе за 3 часа? Ответ дайте числом.","","False","27"
"433","Текстовые задачи","Из двух городов, расстояние между которыми 640 км, одновременно навстречу друг другу вышли два поезда и встретились через 5 часов. Скорость одного на 8 км/ч меньше другого. Найдите меньшую скорость в км/ч. Ответ дайте числом.","","False","60"
"434","Текстовые задачи","Лодка проплыла 28 км по течению и 18 км против течения, затратив на весь путь 5 часов. Собственная скорость лодки 10 км/ч. Найдите скорость течения в км/ч. Ответ дайте числом.","","False","2"
"435","Текстовые задачи","Два крана, работая вместе, разгрузили баржу за 4 часа. Один первый кран разгружает баржу за 6 часов. За сколько часов разгрузит баржу второй кран? Ответ дайте числом.","","False","12"
"436","Текстовые задачи","Автомобиль ехал 2 часа по шоссе со скоростью 90 км/ч, затем 3 часа по грунтовой дороге со скоростью 50 км/ч. Найдите среднюю скорость в км/ч. Ответ дайте числом.","","False","66"
"437","Текстовые задачи","Из пункта А в пункт В вышел пешеход. Через 3 часа из А выехал велосипедист и догнал пешехода через 2 часа. Скорость велосипедиста 15 км/ч. Найдите скорость пешехода в км/ч. Ответ дайте числом.","","False","6"
"438","Текстовые задачи","Бассейн наполняется через первую трубу за 8 часов, через вторую – за 12 часов. Сначала открыли первую трубу на 2 часа, затем вторую. Через сколько часов после открытия второй трубы бассейн наполнится? Ответ дайте числом (десятичная дробь).","","False","3.6"
"439","Текстовые задачи","Катер прошёл 45 км по течению и 30 км против течения, затратив на весь путь 5 часов. Скорость течения 2 км/ч. Найдите скорость катера в км/ч. Ответ дайте числом.","","False","13"
"440","Текстовые задачи","Три экскаватора разной производительности вырыли котлован. Первый и второй работая вместе выроют за 6 часов, первый и третий – за 8 часов, второй и третий – за 12 часов. За сколько часов выроют котлован все три вместе? Ответ дайте числом.","","False","4"
"441","Текстовые задачи","Из двух пунктов, расстояние между которыми 200 км, одновременно навстречу друг другу выехали два велосипедиста. Скорость одного 12 км/ч, другого 14 км/ч. Какое расстояние (в км) будет между ними через 2 часа? Ответ дайте числом.","","False","148"
"442","Текстовые задачи","Плот плывёт по течению реки со скоростью 2 км/ч. Лодка проплывает расстояние между пристанями против течения за 4 часа, а по течению за 2 часа. Найдите собственную скорость лодки в км/ч. Ответ дайте числом.","","False","6"
"443","Текстовые задачи","Швейная мастерская получила заказ на пошив 240 костюмов. Первая бригада может выполнить заказ за 12 дней, вторая – за 15 дней. За сколько дней выполнят заказ обе бригады, работая вместе? Ответ округлите до сотых.","","False","6.67"
"444","Текстовые задачи","Автомобиль проехал первую часть пути со скоростью 40 км/ч, вторую – со скоростью 60 км/ч, причём времени затрачено поровну. Найдите среднюю скорость в км/ч. Ответ дайте числом.","","False","50"
"445","Текстовые задачи","Лодка прошла 48 км по течению и вернулась обратно, затратив на обратный путь на 2 часа больше. Скорость течения 2 км/ч. Найдите скорость лодки в стоячей воде в км/ч. Ответ дайте числом.","","False","10"
"446","Текстовые задачи","Два насоса, работая вместе, выкачивают воду из котлована за 3 часа. Первый насос один выкачивает за 4 часа. За сколько часов выкачает второй насос? Ответ дайте числом.","","False","12"
"447","Текстовые задачи","Из пункта А в пункт В, расстояние 120 км, выехал автомобиль. Через 1 час из В в А выехал мотоциклист. Они встретились через 2 часа после выезда мотоциклиста. Скорость автомобиля на 10 км/ч больше скорости мотоциклиста. Найдите скорость мотоциклиста в км/ч. Ответ дайте числом.","","False","30"
"448","Текстовые задачи","Первая труба заполняет бассейн за 6 часов, вторая – за 4 часа. За сколько часов заполнится бассейн, если открыть обе трубы, но через 1 час первую закрыть? Ответ дайте числом (десятичная дробь).","","False","2.5"
"449","Текстовые задачи","Моторная лодка против течения реки прошла 24 км за 2 часа, а по течению – 36 км за 2 часа. Найдите скорость течения в км/ч. Ответ дайте числом.","","False","3"
"450","Текстовые задачи","Два рабочих, работая вместе, изготовили 280 деталей. Первый работал 6 дней, второй – 5 дней. Сколько деталей в день изготавливал второй, если первый изготавливал на 5 деталей больше? Ответ дайте числом.","","False","20"
"451","Текстовые задачи","Турист прошёл 20 км по озеру, затем 30 км по реке, которая впадает в озеро, затратив на весь путь 5 часов. Скорость течения реки 2 км/ч. Найдите скорость туриста в стоячей воде в км/ч. Ответ дайте числом.","","False","10"
"452","Текстовые задачи","Две бригады, работая вместе, отремонтировали дорогу за 8 дней. Первая бригада одна могла бы отремонтировать за 12 дней. За сколько дней вторая бригада отремонтирует дорогу одна? Ответ дайте числом.","","False","24"
"453","Текстовые задачи","Катер прошёл 30 км по течению и 30 км против течения, затратив на весь путь 5.5 часов. Скорость катера в стоячей воде 11 км/ч. Найдите скорость течения в км/ч. Ответ дайте числом.","","False","1"
